MATERIAL NUMBER,Description,MT,MT+PVN
0001153009,STARTER,281.40,340.50
0001177008,STARTER,201.74,244.10
0001177012,STARTER,201.74,244.10
0001218737,STARTER,950.54,1150.16
0001218741,STARTER,428.10,518.00
0001218757,STARTER,343.21,415.29
0001218765,STARTER,408.84,494.70
0001218767,STARTER,697.95,844.52
0001218770,STARTER,779.35,943.01
0001218771,STARTER,748.23,905.36
0001218774,STARTER,383.08,463.52
0001218777,STARTER,688.36,832.91
0001218812,STARTER,418.94,506.92
0001218816,STARTER,376.79,455.92
0001218822,STARTER,422.76,511.54
0001219007,STARTER,571.00,690.91
0001219008,STARTER,553.83,670.13
0001219009,STARTER,742.12,897.96
0001219010,STARTER,1302.51,1576.03
0001219012,STARTER,1514.39,1832.41
0001219014,STARTER,537.22,650.04
0001223006,STARTER,369.54,447.14
0001223013,STARTER,324.42,392.55
0001223016,STARTER,453.71,548.99
0001223019,STARTER,1143.28,1383.37
0001223021,STARTER,531.12,642.65
0001223104,STARTER,535.99,648.55
0001223502,STARTER,721.87,873.46
0001223504,STARTER,411.51,497.93
0001223506,STARTER,653.14,790.30
0001223507,STARTER,1117.83,1352.57
0001230002,STARTER,417.42,505.07
0001230003,STARTER,431.35,521.94
0001230005,STARTER,532.73,644.60
0001230007,STARTER,411.89,498.39
0001230009,STARTER,509.99,617.09
0001230013,STARTER,1075.04,1300.80
0001230014,STARTER,748.80,906.04
0001230018,STARTER,717.10,867.69
0001230023,STARTER,421.23,509.69
0001230027,STARTER,858.36,1038.62
0001230028,STARTER,737.74,892.66
0001230030,STARTER,1280.95,1549.95
0001231003,STARTER,398.72,482.45
0001231004,STARTER,415.33,502.55
0001231006,STARTER,434.21,525.39
0001231009,STARTER,401.39,485.68
0001231010,STARTER,396.81,480.14
0001231011,STARTER,370.69,448.53
0001231012,STARTER,411.31,497.69
0001231014,STARTER,524.36,634.47
0001231016,STARTER,439.93,532.31
0001231017,STARTER,410.55,496.76
0001231018,STARTER,688.36,832.91
0001231029,STARTER,422.61,511.35
0001231030,STARTER,428.48,518.46
0001231033,STARTER,456.92,552.87
0001231034,STARTER,450.05,544.56
0001231035,STARTER,415.51,502.77
0001231041,STARTER,438.60,530.71
0001231046,STARTER,448.90,543.17
0001231119,STARTER,1613.81,1952.71
0001241021,STARTER,586.83,710.06
0001241023,STARTER,790.59,956.62
0001241119,STARTER,646.44,782.20
0001260004,STARTER,485.67,587.66
0001260026,STARTER,584.22,706.90
0001261006,STARTER,774.57,937.23
0001261013,STARTER,488.77,591.41
0001261016,STARTER,588.01,711.49
0001261026,STARTER,457.43,553.49
0001262002,STARTER,489.01,591.71
0001262006,STARTER,830.78,1005.25
0001262008,STARTER,1243.28,1504.37
0001262020,STARTER,354.46,428.90
0001262022,STARTER,371.25,449.21
0001262029,STARTER,396.63,479.92
0001262032,STARTER,480.64,581.58
0001262034,STARTER,345.19,417.68
0001263004,STARTER,309.06,373.96
